epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/cam_left,train/confmaps/cam_right
0,,0.00191827944945544,,,,,
0,,0.0001971748424693942,,,,,
1,0.00030058930860832334,0.0001456189202144742,9.999999747378752e-05,87.35847473144531,0.10016751289367676,0.00040755237569101155,0.0001936262851813808
2,0.00017272615514229983,9.461516310693696e-05,9.999999747378752e-05,87.99567413330078,0.08561587333679199,0.00017376385221723467,0.00017168839985970408
3,0.00011452664330136031,3.080764872720465e-05,9.999999747378752e-05,89.64701080322266,0.06769561767578125,0.00010529721475904807,0.00012375606456771493
4,6.361721170833334e-05,9.4600509328302e-06,9.999999747378752e-05,90.28681945800781,0.07557439804077148,4.367793371784501e-05,8.355650788871571e-05
5,3.011650187545456e-05,6.266444415814476e-06,9.999999747378752e-05,88.07119750976562,0.06580448150634766,1.5590318071190268e-05,4.4642682041740045e-05
6,2.3276010324480012e-05,3.445912170718657e-06,9.999999747378752e-05,88.07364654541016,0.0647428035736084,1.1642460776783992e-05,3.490954986773431e-05
7,1.866584898380097e-05,8.516619345755316e-06,9.999999747378752e-05,88.32723999023438,0.06497025489807129,8.797332156973425e-06,2.8534370358102024e-05
8,1.7800379282562062e-05,5.6214785217889585e-06,9.999999747378752e-05,90.15628814697266,0.06847143173217773,8.273055755125824e-06,2.7327700081514195e-05
9,1.5080812772794161e-05,5.73691750105354e-06,9.999999747378752e-05,96.81307983398438,0.06475591659545898,6.717494215990882e-06,2.344413587707095e-05
10,1.3336357369553298e-05,3.1270051294995937e-06,9.999999747378752e-05,90.75028228759766,0.06487536430358887,5.386345492297551e-06,2.1286368792061694e-05
11,1.295810034207534e-05,5.02499506183085e-06,9.999999747378752e-05,88.49720764160156,0.07623124122619629,5.421567948360462e-06,2.0494631826295517e-05
12,1.1717962479451671e-05,7.753223144391086e-06,9.999999747378752e-05,88.43382263183594,0.06519961357116699,4.517469278653152e-06,1.8918459318228997e-05
13,1.2977441656403244e-05,1.6282303931802744e-06,9.999999747378752e-05,88.56178283691406,0.06603550910949707,5.501409759745002e-06,2.0453468096093275e-05
14,9.525928362563718e-06,1.97379631572403e-06,4.999999873689376e-05,88.3548583984375,0.06611323356628418,3.142658670185483e-06,1.590919418958947e-05
15,9.562974810251035e-06,1.4874262888042722e-06,4.999999873689376e-05,88.2940902709961,0.06684565544128418,3.0479789074888686e-06,1.607797275937628e-05
16,8.690245522302575e-06,7.950627150421496e-06,4.999999873689376e-05,88.77175903320312,0.06462335586547852,2.4614109861431643e-06,1.491907642048318e-05
17,8.506789527018555e-06,2.9530501706176437e-06,4.999999873689376e-05,88.74693298339844,0.06512594223022461,2.220610667791334e-06,1.4792970432608854e-05
18,8.376537152798846e-06,1.4873045302010723e-06,4.999999873689376e-05,88.36613464355469,0.06505990028381348,2.0854395188507624e-06,1.466763933422044e-05
19,8.345739843207411e-06,2.7614357804850442e-06,4.999999873689376e-05,88.36095428466797,0.06622791290283203,2.068590220005717e-06,1.462289128539851e-05
20,8.42989538796246e-06,1.0950791420327732e-06,4.999999873689376e-05,88.32844543457031,0.06447386741638184,2.1708576696255477e-06,1.4688933333673049e-05
21,8.294642611872405e-06,4.750003427034244e-06,4.999999873689376e-05,87.79476928710938,0.06241655349731445,1.9813328435702715e-06,1.4607951015932485e-05
22,8.079332474153489e-06,3.872401975968387e-06,4.999999873689376e-05,88.07303619384766,0.06594324111938477,1.920141585287638e-06,1.4238525182008743e-05
23,7.184247806435451e-06,2.0634770407923497e-06,2.499999936844688e-05,88.71296691894531,0.0671849250793457,1.4625184121541679e-06,1.2905981748190243e-05
24,7.081167495925911e-06,2.2792964955442585e-06,2.499999936844688e-05,88.55072021484375,0.06650352478027344,1.4417262264032615e-06,1.2720606719085481e-05
25,6.947084330022335e-06,1.7950619621842634e-06,2.499999936844688e-05,89.03602600097656,0.06714487075805664,1.4177386447045137e-06,1.24764328575111e-05
26,6.8811468736384995e-06,1.868583808573021e-06,2.499999936844688e-05,88.73616790771484,0.06674027442932129,1.335853539785603e-06,1.2426436114765238e-05
27,6.843526534794364e-06,2.3395657535729697e-06,2.499999936844688e-05,88.521728515625,0.06693673133850098,1.4178693845678936e-06,1.22691853903234e-05
28,6.917788596183527e-06,3.9019992073008325e-06,2.499999936844688e-05,88.60419464111328,0.06570792198181152,1.4530326097883517e-06,1.2382544809952378e-05
29,6.63515811538673e-06,2.32207548833685e-06,2.499999936844688e-05,85.99541473388672,0.06359720230102539,1.3233074014351587e-06,1.1947010534640867e-05
30,6.984837000345578e-06,1.7243833099200856e-06,2.499999936844688e-05,85.3592529296875,0.06331896781921387,1.3764857840214972e-06,1.2593190149345901e-05
