epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/sub_left,train/confmaps/sub_right
0,,0.003672628663480282,,,,,
0,,0.0004890886484645307,,,,,
1,0.0007788853254169226,0.0004739722644444555,9.999999747378752e-05,37.905155181884766,0.20172810554504395,0.0005601299926638603,0.0010038786567747593
2,0.00048333394806832075,0.0004496360488701612,9.999999747378752e-05,37.66558837890625,0.16076183319091797,0.000483313953736797,0.00048355813487432897
3,0.000466687954030931,0.00038706837221980095,9.999999747378752e-05,37.78559494018555,0.16295313835144043,0.0004576778446789831,0.000475474662380293
4,0.00038470939034596086,0.0002573168894741684,9.999999747378752e-05,37.73249053955078,0.17700600624084473,0.00028507111710496247,0.0004842326743528247
5,0.00028426325297914445,0.00022459239698946476,9.999999747378752e-05,37.819129943847656,0.16238164901733398,0.00017093383939936757,0.0003978390886913985
6,0.00019047960813622922,0.0001252784568350762,9.999999747378752e-05,37.84431076049805,0.16240549087524414,0.00013188036973588169,0.0002480635594110936
7,0.00012048357893945649,0.0001317838323302567,9.999999747378752e-05,37.761268615722656,0.1616213321685791,0.00010019983164966106,0.00014149921480566263
8,0.00010176940122619271,0.00011465392162790522,9.999999747378752e-05,37.88616180419922,0.1629164218902588,8.881236135493964e-05,0.00011636118870228529
9,7.90218764450401e-05,9.398951078765094e-05,9.999999747378752e-05,37.936729431152344,0.16067957878112793,6.709305307595059e-05,9.141108603216708e-05
10,6.69516739435494e-05,0.00011305498628644273,9.999999747378752e-05,38.060672760009766,0.1622025966644287,5.8273297327104956e-05,7.580503734061494e-05
11,5.8140351029578596e-05,8.168876956915483e-05,9.999999747378752e-05,37.8966064453125,0.15915918350219727,4.8767189582576975e-05,6.724758713971823e-05
12,5.317684554029256e-05,0.00010034112347057089,9.999999747378752e-05,37.95558547973633,0.16359734535217285,4.262282527633943e-05,6.478714931290597e-05
13,4.4928663555765525e-05,0.00012974778655916452,9.999999747378752e-05,37.910926818847656,0.16153502464294434,3.879885116475634e-05,5.170039366930723e-05
14,4.16875809605699e-05,8.931651245802641e-05,9.999999747378752e-05,37.74520492553711,0.15962576866149902,3.5253644455224276e-05,4.892404831480235e-05
15,3.888754145009443e-05,8.157078264048323e-05,9.999999747378752e-05,37.904048919677734,0.16315007209777832,3.447174822213128e-05,4.441568671609275e-05
16,3.784568252740428e-05,0.00010214978829026222,9.999999747378752e-05,37.86321258544922,0.16184520721435547,3.3034433727152646e-05,4.1829367546597496e-05
17,3.134516009595245e-05,0.00012413870717864484,9.999999747378752e-05,37.896663665771484,0.16184329986572266,2.6777697712532245e-05,3.544713035807945e-05
18,3.0103901735856198e-05,9.256494377041236e-05,9.999999747378752e-05,37.97672653198242,0.1615760326385498,2.529370249249041e-05,3.559676406439394e-05
19,2.3555776351713575e-05,8.451275061815977e-05,4.999999873689376e-05,37.90072250366211,0.1606612205505371,1.9842869733111e-05,2.8093394575989805e-05
20,2.4884993763407692e-05,9.13940675673075e-05,4.999999873689376e-05,37.81062316894531,0.162672758102417,2.0049959857715294e-05,2.9183334845583886e-05
21,2.1879186533624306e-05,9.59034005063586e-05,4.999999873689376e-05,37.85289764404297,0.16060996055603027,1.9349332433193922e-05,2.520229827496223e-05
22,2.2003936464898288e-05,0.00010210665641352534,4.999999873689376e-05,37.91022872924805,0.16383910179138184,1.793686351447832e-05,2.6457475541974418e-05
23,2.122093428624794e-05,0.00010245337762171403,4.999999873689376e-05,38.18669128417969,0.16251158714294434,1.7342710634693503e-05,2.582353408797644e-05
24,2.173258690163493e-05,8.474456990370527e-05,4.999999873689376e-05,40.231285095214844,0.17206406593322754,1.7700800526654348e-05,2.6558667741483077e-05
25,2.098343611578457e-05,6.440075230784714e-05,4.999999873689376e-05,45.35743713378906,0.198045015335083,1.5958101357682608e-05,2.445528662065044e-05
